Seq	Object	Dprime
6276	247-1910	281.212373472
5384	200-1847	281.21937403
4574	169-1841	281.873838088
7250	321-602	282.440124709
3119	098-1858	282.545474128
5237	193-805	285.199231887
3078	095-749	285.674314021
6078	235-1857	285.948386975
2208	4596-540	286.445704185
5215	192-1839	286.471010953
6996	302-643	286.818457351
2385	022-635	287.190647258
2680	056-720	287.400828567
6457	260-1913	287.518157156
3121	098-753	287.969454156
4872	179-1835	288.223368717
4879	179-1835	288.500395033
2391	023-639	288.848523294
2275	011-027	289.206094702
2305	013-022	289.386798687
5089	186-1835	289.404222984
2375	021-638	290.034098755
7159	314-017	290.084354143
3290	109-801	290.117128954
4777	176-1833	290.682552876
3176	101-758	290.733482164
6047	234-1851	291.298627162
2674	056-1921	291.321101532
2063	4570-300	291.489276355
6199	241-1854	291.80166984
5415	201-810	292.131479562
2156	4588-118	292.182101016
7299	325-610	292.485465477
6481	262-737	292.590290392
4206	157-816	292.878267422
3455	120-808	292.897206519
3724	136-1833	293.010658251
2299	013-017	293.164966938
3288	109-804	293.414649129
6688	275-726	293.564232028
2338	017-636	293.688293762
3628	132-1833	293.911409447
5601	210-809	294.285629859
2328	015-637	295.18253234
3086	096-800	295.561706753
3415	118-1835	296.316261068
7524	350-513	297.495448676
2144	4584-117	298.188834833
2425	028-1945	299.077568561
6854	287-1926	299.248195977
7578	354-501	299.299929434
2421	028-1945	299.300782959
5801	221-810	299.431634755
6494	263-744	299.541068141
3884	145-1825	299.64712412
2963	083-757	299.667026525
4740	175-1823	300.720125562
2059	4570-205	301.217432898
2142	4583-533	301.392456196
7703	367-328	301.621401902
2053	4569-206	301.662765858
6116	238-804	301.719595327
5174	190-822	301.859767665
6571	267-1903	301.939313
7062	307-658	302.107059807
6289	247-760	302.721735375
4952	181-825	303.135336546
6123	238-1840	303.220600131
7549	351-124	303.361197716
7576	353-129	303.565357534
6504	264-1858	303.689054882
3188	102-1834	303.736897055
5075	185-1821	303.860201102
7685	365-229	303.916704326
5067	185-1820	303.958715725
5803	221-815	304.103086685
6026	233-810	304.905385883
2852	074-1850	304.932953019
6177	240-1839	305.472805057
7582	355-130	305.644787529
2001	4560-313	306.250808728
6883	293-722	306.526789209
2360	020-1944	307.56294322
6822	285-734	308.63745931
3972	147-831	309.443916021
5611	212-1821	309.604888013
5630	212-824	309.708526675
2387	022-1938	309.720244816
7028	305-1934	309.9710679
2834	072-1846	309.995398125
2983	085-1836	310.738180604
4367	162-834	310.798769677
2051	4568-136	311.963557075
2197	4595-627	313.164256972
7611	358-525	313.22405653
2202	4596-628	313.328208405
4418	164-1809	313.90216104
6750	280-1860	314.094676726
4507	167-837	314.37870623
7183	316-702	314.567568783
2019	4563-455	315.08844073
5786	219-827	315.194075744
6701	277-750	315.227912809
1997	4560-207	315.444151016
7056	307-717	315.643810664
2057	4569-122	315.680960224
6818	284-1902	316.045891716
4725	175-839	316.330648483
2344	017-710	316.400668074
6772	281-1857	317.770242839
7199	317-1940	317.894235392
2666	055-755	318.031821811
7128	312-1932	319.052299286
3115	098-826	319.065669511
6569	267-1842	320.153821236
3156	100-1817	321.013804807
6155	239-1821	321.590305146
5116	188-1803	321.726371073
2907	080-1827	322.04594325
3817	142-843	322.303243874
2497	040-1860	322.463545253
7730	371-458	322.78220372
5107	187-1802	322.920963163
7618	358-548	323.267387925
7214	319-711	323.520623906
5433	202-842	323.628741026
2832	071-1831	323.764271194
7378	333-1958	323.900103798
5007	183-846	324.4084318
7495	348-619	324.870565356
5825	222-836	325.238217597
5831	223-1809	325.853766903
7188	316-1928	325.895005762
3737	137-846	326.005229924
7190	316-1928	326.247302078
4621	171-849	326.540418009
6285	247-825	326.569260808
6007	232-834	326.943943625
6979	301-1907	326.99543567
6738	279-802	327.204379501
4870	179-1756	327.555769591
7009	303-737	327.856312485
1920	4546-302	327.921250793
5945	228-837	328.122832061
3762	138-849	328.364097524
3445	119-845	329.002210737
2971	084-829	329.322838162
4665	173-852	329.357753957
5991	231-837	329.658958217
4960	182-1754	329.939869285
7526	350-622	329.980178668
4001	149-1754	330.164150628
3563	129-850	331.153405325
4642	171-854	331.632504853
2645	053-810	331.870232746
5557	209-848	332.133211478
4331	161-856	333.234990627
5158	190-1752	333.273659317
4676	173-856	333.593485281
7608	357-033	333.718744713
3364	115-1757	333.916348633
2134	4582-635	334.182323379
1950	4552-509	334.302809428
7026	305-1901	335.067235081
1993	4559-108	335.324677601
4622	171-858	335.367677863
4174	156-1748	335.384265142
7228	319-726	335.51018651
4443	165-1747	335.618967192
4204	157-1747	335.851553841
6954	299-1853	336.088077343
7623	359-034	336.123994409
7813	390-323	336.23563848
3966	147-859	336.801815989
6903	295-1846	338.266010746
7607	357-024	338.338904762
3491	123-1750	338.539961428
1894	4541-227	338.56020206
1873	4538-311	338.586665586
4389	163-1744	338.648044499
2086	4574-627	338.674791108
5178	190-859	338.707509151
3706	136-859	338.847563719
4985	182-1745	338.940092468
2678	056-1825	339.213965745
1884	4540-229	339.412179619
6563	266-1819	340.057522855
5242	193-901	341.038642027
1934	4548-513	341.225313255
2711	058-1821	341.58217702
3905	145-903	341.602377566
2495	039-809	341.778766922
7145	313-743	341.878845438
6213	243-844	341.95381404
2476	036-806	342.17362413
4731	175-1741	342.572949421
1875	4539-221	342.864545119
5805	221-856	343.080668255
4744	175-1740	343.148244856
7506	348-650	343.593639917
3896	145-1740	343.660081369
6923	296-1840	343.670160695
1940	4550-529	343.915151279
1910	4544-145	344.10532273
4131	155-1739	344.179751729
7460	344-660	344.253538285
3358	114-1747	344.759020646
1888	4541-448	344.900149205
6699	276-1819	345.787269945
6044	234-853	346.118945109
7138	313-1856	346.432292242
4156	155-1737	346.492080238
5628	212-902	346.522265287
7143	313-1856	346.806620098
7645	362-020	346.890611409
6417	257-1804	346.915142737
6808	284-1823	348.51003185
1900	4542-135	348.783643163
2530	042-1826	348.937839878
7638	362-632	349.619589043
6697	275-831	349.714358089
1843	4532-401	349.886810466
2383	022-1845	349.948701744
7646	363-631	350.271511463
5081	186-1734	350.488712479
2499	040-820	350.765044511
4609	170-1732	350.852030148
7555	352-655	351.292024063
2634	052-1814	351.904546141
2829	071-1760	352.446820773
4956	181-1731	352.544930092
6599	269-1807	352.586582867
5392	200-911	352.610399318
3208	103-903	352.695822755
2049	4568-637	352.730693898
7111	310-1845	352.847224743
6686	275-835	352.983443752
2594	048-830	353.010031178
5394	200-912	353.050317102
5494	205-911	353.211846795
5227	192-1732	353.618386233
7632	360-002	353.649275614
2454	032-1830	353.871194922
7446	342-718	354.513088749
7880	402-301	354.534785616
7866	400-406	354.568107355
3694	134-1731	354.652753211
1871	4538-508	354.654214408
2152	4585-1930	355.21138862
5122	188-1729	355.498618671
7861	400-227	355.607825364
7023	304-811	356.07233895
7693	365-010	356.411840601
7690	365-009	356.461360077
5410	201-916	356.946983602
7485	346-715	357.281234938
3020	088-902	357.71191111
3010	087-901	358.076737192
3891	145-1726	358.555826664
6878	292-1818	358.777964617
3886	145-1725	358.846062787
3917	145-1725	358.986536293
6785	282-836	359.024191609
3502	125-917	359.078688793
6536	265-1756	359.128842762
7846	398-451	359.242791163
4480	166-1723	359.456521588
7440	341-727	359.698425928
1793	4525-403	359.707964713
3279	108-1733	359.724604898
7851	398-156	359.939444104
6716	277-1805	360.089686995
2364	020-1834	360.337082099
5859	224-1733	360.980759875
1908	4543-056	361.337464547
7517	349-717	361.469971594
4975	182-1722	361.575748702
4412	163-925	361.826396235
4967	182-1722	362.140262026
1785	4524-241	362.442059401
6550	266-1753	362.777337525
6703	277-1801	362.792548541
2758	064-853	363.100304994
4510	167-926	363.325891366
1924	4546-604	363.413249628
3417	119-1726	363.513126511
6542	265-1752	363.528369708
5739	218-1728	363.811390616
7892	406-232	363.956468543
2238	003-1851	364.082830384
2431	028-1820	364.594073692
1966	4554-628	365.020473892
5904	226-916	365.112704003
4513	168-1717	366.136566034
4517	168-1717	366.169792046
5259	194-1719	366.176194597
1774	4522-232	366.457027251
1768	4522-232	366.51696334
2303	013-812	366.813054057
2618	050-1758	366.963012618
7773	381-027	367.450312979
3682	135-1717	368.232538268
7161	314-816	368.682376702
6712	277-851	368.902920572
6498	263-1745	369.07009681
2371	021-1823	369.076597455
1758	4520-419	369.417579033
4404	163-933	369.837166103
2949	083-912	370.081732517
6201	241-915	370.153206699
3348	112-1721	370.356958927
4709	174-1712	370.729524057
5708	217-1719	371.933182379
7030	305-831	372.162680387
7774	381-628	372.341722058
4921	180-935	372.412204939
2321	015-821	372.464729528
7719	368-1948	372.5609888
1784	4524-501	373.082490266
1734	4516-240	373.147815145
5479	204-1714	373.177870638
7477	346-1906	373.264440347
6804	284-1754	373.360957317
1762	4520-443	373.371626715
7104	309-1818	373.632199623
7915	409-202	373.645031285
6352	253-913	373.80884187
1754	4520-443	373.837069595
5717	217-1717	374.177016255
1808	4527-125	374.369069322
2031	4564-1937	374.500135721
1845	4532-103	374.688309756
7748	376-645	374.744348532
7818	392-602	374.991114672
3668	135-1710	375.259202674
3650	134-1710	375.372210127
3443	119-933	375.96338888
6136	238-923	376.178894373
7751	375-650	376.756274484
2301	013-1821	376.833779472
2894	078-917	377.19393794
7902	408-142	377.202505675
1987	4558-1945	377.211227536
7955	417-335	377.645093726
6783	282-858	377.836277121
5271	194-1707	378.12750286
7015	304-1806	379.099708257
7918	409-140	379.852337368
4563	169-1703	379.994927024
1944	4551-1956	380.005826976
5972	230-931	380.540759727
6899	295-1755	380.549027667
7064	307-1807	380.72726306
2836	072-918	380.811016927
1946	4551-1954	381.324386733
7816	391-026	381.400926443
5305	196-1703	382.440910603
2592	048-1742	382.676205568
1746	4518-139	382.741690894
1742	4518-139	382.749030841
2590	048-1742	382.923308654
7113	310-1808	383.085404717
1672	4508-324	383.510127563
1678	4509-404	383.733188717
2162	4589-803	383.927848184
2460	032-1753	384.233906649
7759	376-1944	384.240431874
4287	160-1657	385.450825566
1674	4508-403	385.498971129
7865	400-601	385.635261753
4717	174-1657	386.186714295
5235	193-1659	386.427235534
1938	4550-659	386.444043051
5793	220-1705	386.787785515
2509	041-1743	386.8684928
1730	4516-513	387.885602115
1654	4505-335	387.946911995
5775	219-1703	387.986652111
3166	101-1707	387.99990198
6919	295-1747	388.419750077
7543	351-755	389.226752634
1689	4509-210	389.28559573
7335	328-1820	389.451189338
4523	168-1653	389.608836883
2516	041-906	389.876827334
2780	065-1722	389.88008029
6659	273-918	390.539896026
7462	344-1839	390.826806492
5980	230-941	391.071804124
6346	253-931	391.073357029
4993	183-954	391.796543579
6427	257-1716	391.800927152
3384	116-1658	391.802907158
7753	376-716	392.243174142
1820	4529-617	392.376674815
1863	4536-637	393.023871297
6445	259-1716	393.123236248
3926	146-955	393.24982425
5781	219-948	393.379107715
7296	326-1811	393.711327538
3026	088-1706	393.976074352
4032	150-1649	393.983028374
3538	127-1653	394.081900576
6266	245-938	394.138188346
6119	238-942	394.214482639
2676	056-922	394.236704561
7900	407-558	394.289656798
2017	4562-1909	394.731352051
2664	055-922	394.738712223
1972	4555-724	394.981858068
5726	217-950	395.18581086
1831	4531-628	395.260075971
6876	291-910	395.319201037
6264	245-940	395.431551913
6012	232-946	396.460716347
8009	430-302	396.607279755
1616	4501-418	396.860009839
3407	118-1652	397.201058866
6435	257-935	397.22013405
1892	4541-1948	397.360666498
6864	289-914	397.500670668
5291	195-1648	397.530868146
3932	146-1646	397.774264583
1638	4504-201	397.851987915
4915	180-1645	398.440888929
1656	4505-457	398.471735887
7588	356-801	398.668722701
2898	079-1705	398.810745213
7768	380-1927	399.056484525
7412	338-827	399.331816434
5273	194-3000	399.655139166
1710	4511-533	400.596292347
6635	271-930	400.654714476
4232	158-1642	400.727174244
2038	4565-751	400.8145949
1592	4496-344	401.074176376
6589	269-1713	401.142682963
6256	245-1660	401.281710502
3068	093-1656	401.425279501
6762	280-1720	401.758723824
2850	073-941	401.771202814
4781	176-1641	402.076991191
4954	181-1641	402.68351407
4254	158-3006	402.932942342
7619	358-803	403.181197799
5105	187-1641	403.264338913
7254	322-851	403.587987233
2801	067-939	403.722219897
4052	150-1639	404.061389346
7643	362-759	404.137119367
6661	273-1712	404.3293638
1914	4544-717	404.403415022
7605	357-808	404.66600215
6860	288-923	404.831671733
6681	275-1712	405.655838585
1930	4548-1919	405.679072291
1642	4504-127	405.734396704
6710	277-1713	406.050170228
3056	092-1652	406.069379617
7707	367-1851	406.218242219
2206	4596-1804	406.682240137
5906	226-959	406.845245874
2389	022-910	406.892845978
2218	4599-1759	407.104266768
7890	406-633	407.170108505
2110	4579-821	407.407065359
2462	032-1726	407.408679812
5563	209-3005	407.432834694
2379	022-910	407.472032199
7351	330-1758	407.491983675
6313	250-950	407.746138443
5085	186-1635	408.899332961
7950	417-604	409.321171121
1634	4503-119	409.602695825
4973	182-1634	409.726585355
6339	252-952	410.093777829
6003	232-3001	410.155404958
6790	282-934	410.647453515
1833	4531-659	410.647601583
1709	4510-559	410.694848517
5589	210-1638	410.914575555
6205	242-957	410.97229445
2470	036-926	410.992246382
8024	435-443	411.348004012
2472	036-926	411.399336917
2009	4561-800	411.590279603
3792	140-3013	411.713789123
6800	282-935	411.966794725
3002	086-1647	412.297279424
2577	047-936	412.680382445
1596	4498-135	412.71771826
1550	4488-318	412.85356805
1546	4488-334	413.201420563
7884	403-653	413.349921863
3049	091-1644	413.438716778
3508	126-1633	413.669286865
3518	126-1633	413.716410603
3066	093-3002	413.727825689
3995	148-3016	413.834480054
1568	4491-433	414.279680587
7590	356-823	414.662914203
3213	104-3008	414.967144927
5920	227-3007	415.133421349
7294	325-902	415.281452026
2555	045-938	415.498672065
7396	336-851	415.906604006
6846	286-938	416.485815445
7798	386-737	416.774284921
1519	4485-331	417.391205467
7860	399-709	417.545104059
7812	390-1915	417.661158369
7641	362-819	417.666108882
8074	444-260	417.963171005
3235	106-3012	418.126197174
1620	4502-059	418.307834615
6268	246-3004	418.786176875
6862	288-939	419.324044666
6774	281-1701	420.266973342
6295	247-1641	420.282553215
2350	017-921	420.503372841
4122	154-3023	420.607549286
3506	125-1626	420.661255011
6695	275-1656	420.893285177
1718	4513-012	421.568514438
1483	4482-325	421.668192455
7328	328-1738	422.141619859
3471	122-3020	422.165320911
4470	166-1621	422.292501169
6616	270-955	422.51104954
4715	174-3025	422.689297959
6080	235-3012	422.862856685
1855	4535-1915	422.923971815
2116	4579-842	423.055017977
7355	330-1739	423.113127057
3756	138-3024	423.375449585
7036	305-1715	423.400211295
1789	4524-1937	424.382535043
2138	4582-848	424.404329423
7899	407-705	424.83563197
6824	285-948	424.998248521
1468	4481-238	425.74849035
1976	4556-1833	425.844064757
1526	4486-457	425.976815711
7901	407-707	425.981555478
8076	445-207	426.171919905
6567	267-1645	426.297024818
1594	4497-549	426.302816644
1450	4479-340	426.530069903
1452	4479-251	427.232736431
5200	191-1617	427.490514292
4835	178-1616	427.70676739
6369	254-1636	427.938893985
7364	331-1734	428.375001042
2184	4592-1740	428.762359676
1879	4539-749	428.990552331
4913	180-3031	429.204301582
1646	4504-020	429.442621842
4917	180-1614	429.528284601
8090	448-434	429.653493217
3206	103-1623	429.912384846
4742	175-1613	429.994198027
4923	180-1613	430.262764886
4775	176-1613	430.293951813
1497	4483-153	430.508672519
6409	256-3011	430.557524399
3160	100-1623	430.75217845
6515	264-1638	431.482011343
1574	4492-058	431.733977951
5370	199-3032	432.223956485
6850	286-1651	432.288220018
6607	270-3007	433.004021331
3534	127-1613	433.033247785
1443	4479-205	434.090688768
2154	4586-1740	434.321244901
1590	4496-037	434.401352859
7994	426-634	434.578541024
3481	122-3033	434.618987549
5246	193-1610	435.0412862
1932	4548-814	435.302734657
1493	4483-133	435.379499185
1489	4482-513	435.699894391
2240	004-926	435.949653339
6299	248-3021	435.951836455
7212	318-934	435.974779972
7492	347-1742	436.105874896
1470	4482-135	436.257412998
1480	4482-514	436.516097683
6998	302-1658	436.609060543
5279	195-1608	436.887922668
3851	143-3039	437.173404255
7844	396-750	437.318312688
5348	198-3038	437.478363487
2925	081-3022	437.673810123
7584	355-856	437.893199556
4851	179-3041	438.395358442
6260	245-3025	438.544288142
6413	256-3020	438.745526713
5917	227-1614	438.83724057
1658	4506-1955	438.948077033
7767	380-821	439.054683775
1584	4494-614	439.344661319
2965	084-1620	439.530637193
6523	264-3016	439.57668574
1441	4478-500	439.63868465
6473	262-3018	439.747815978
1922	4546-818	439.778612093
3313	110-3035	439.90600234
1995	4559-1807	439.98039002
1398	4472-229	440.294794266
5456	203-3039	440.353647685
1393	4472-230	440.724991739
2130	4580-1738	441.381579284
1383	4470-358	441.392589235
5843	223-3036	441.583287523
4365	162-1601	441.980963445
1668	4507-701	441.986694448
2456	032-958	442.152139853
1614	4501-1960	442.605477415
8114	458-217	443.010848203
7171	314-945	443.051976302
1544	4488-042	443.426195271
4701	174-3047	444.006797269
6443	259-3024	444.230320112
5728	217-1606	444.242276016
1630	4503-1951	444.31231838
7819	393-809	444.899427867
1814	4528-753	445.269674921
7265	323-940	445.383769174
7845	397-802	445.614624636
1433	4477-126	445.617408165
1332	4466-324	446.037328821
1521	4485-602	446.198001166
2023	4563-1753	446.228797993
6652	273-1627	446.27845625
7192	316-1658	446.359911704
1367	4469-219	446.570023175
1327	4466-326	446.581398614
1812	4528-755	446.582646983
5445	202-1559	446.985961027
1608	4500-1953	447.093951365
3672	135-3048	447.414303079
7869	401-759	447.702094452
2450	032-3005	447.888783126
3327	111-1602	448.204807529
7313	327-940	448.221559139
7777	381-834	448.363026347
7822	393-1832	448.399475209
1566	4491-626	448.456575914
6618	270-3023	448.922732447
2340	017-954	448.943500189
7778	381-1811	448.974903139
4839	178-3052	449.24143299
2346	017-955	449.563587827
1962	4553-1802	449.815742005
8120	461-203	449.959531151
2011	4561-856	450.745566069
1948	4551-842	450.752703365
1317	4464-236	450.767964938
2415	026-3004	450.985812951
7545	351-918	451.02979523
6502	264-3029	451.114697679
6641	272-3025	451.201545001
7764	379-841	451.274243105
7786	383-835	451.561918362
1321	4466-435	451.580482737
6941	297-1637	451.603472481
7823	394-818	451.660691133
1349	4467-448	451.864221443
8018	433-651	452.18729295
2176	4590-933	452.705224775
1299	4462-353	453.431758877
7422	338-1711	453.600059977
8128	466-224	453.819122524
2287	012-955	453.92601562
7859	399-813	454.46280536
4335	161-1548	454.536381303
1295	4461-247	454.665299625
4087	153-1548	455.11732406
5573	210-1553	455.298033825
6510	264-1612	455.345580281
1308	4463-432	455.578653326
6423	257-3038	456.380715779
1288	4460-248	456.473959556
7435	341-1710	456.554271184
5621	212-1552	456.7289289
1286	4460-251	456.763374221
3600	131-1549	456.789811758
3559	129-1549	457.256688032
7942	413-750	457.322802311
4950	181-1546	457.428609625
6565	267-3034	457.510782905
1355	4468-129	457.609504858
4369	163-3101	457.791956741
1536	4487-007	457.903169199
2807	068-3038	457.994990056
4613	170-1544	458.671381251
1335	4467-132	458.938154156
6835	285-1620	459.583447709
3764	138-3101	459.696078097
6082	236-3050	459.792863659
7276	323-957	460.072594245
1341	4467-125	460.107045295
1904	4543-1804	460.26878268
7904	408-1840	460.910467073
1778	4523-810	460.940500434
7201	317-3004	461.009096896
1339	4467-523	461.150889174
1265	4456-353	461.556541288
6185	240-3051	461.80747907
5221	192-3103	461.898701388
7983	425-733	461.902492417
5866	224-3056	462.165319402
8141	473-245	462.692853484
6637	271-3037	462.964281397
3536	127-1543	463.000816319
7209	318-1640	463.166880253
1682	4508-744	463.288738739
6867	289-1618	463.453886793
1330	4466-528	463.518404359
2464	033-1623	463.537259871
2159	4588-1701	463.571270227
5366	199-3104	463.626806472
3390	117-3101	463.7883402
1245	4454-328	464.047072724
8142	475-249	464.206456276
7186	316-1637	464.364624496
7614	358-927	464.541259217
4919	180-1539	464.775678773
4410	163-1538	464.902782388
6939	297-3025	465.603829686
7914	409-1833	465.754974553
1282	4459-456	465.77187449
1458	4480-635	467.019921176
2132	4580-940	467.113936173
7787	384-857	467.291438025
1271	4457-452	467.321421841
1415	4474-618	467.398263486
7905	408-817	467.708532391
6483	262-3047	467.954709647
3062	092-3058	468.288397588
7964	420-756	468.844008578
3022	088-3058	468.891483923
1439	4477-632	468.963492235
7013	304-3024	469.128735644
3656	134-3110	469.129374376
1462	4480-642	469.208384677
1898	4542-854	469.62568103
4866	179-1533	470.162024487
2354	018-3019	470.274212818
7594	356-936	470.379347259
4885	179-1533	470.513580944
1417	4475-015	471.615391498
8036	436-725	471.866452934
1351	4468-605	472.119634595
7354	330-1640	472.156390203
8149	476-441	472.229076306
1906	4543-1746	472.291850941
2118	4579-946	472.697289911
1221	4451-215	473.293256513
1827	4530-1804	474.09692296
1602	4499-744	474.951065109
1203	4448-239	474.962398699
6787	282-1601	474.964330249
2013	4562-930	475.548453065
2193	4595-3005	475.935943726
7152	314-3024	476.020137817
5465	203-3116	476.793081531
8093	451-654	476.824021124
1284	4459-101	477.834134513
1231	4452-504	478.008330859
7271	323-1627	478.451561565
7975	421-810	478.636122714
7976	421-811	479.030977948
1233	4453-129	479.78495469
1460	4480-705	479.810541872
6951	298-1606	479.839697246
7342	329-1630	480.124247236
1171	4443-259	480.263481752
1728	4516-827	480.741126696
3088	096-3113	481.00679981
7679	365-940	481.18048323
2070	4571-948	481.723651415
5839	223-3117	481.817898063
3550	128-1524	481.939301121
7241	320-1620	482.250281892
2474	036-1600	482.35272971
7074	308-3036	483.251083339
7977	422-816	483.290549596
5576	210-3122	483.515713505
1604	4500-1845	483.547109336
1177	4445-438	483.639939325
3366	115-1524	484.329100339
6780	282-1551	484.576549045
6620	271-1545	484.702630871
7338	329-3021	484.91001446
6341	252-1536	485.143290533
1523	4486-732	485.394930996
6354	253-1535	485.646344651
5109	187-1518	485.880914649
1580	4493-1855	485.979388736
1540	4488-1907	486.186457774
7402	336-3016	486.379412062
2990	085-3115	486.407426053
1752	4520-1802	486.451983384
1821	4529-859	486.467930231
6810	284-3056	486.635010712
1375	4469-648	486.830437253
1256	4456-048	486.962676215
1980	4556-937	487.267843943
1205	4448-521	487.307497016
7553	352-3002	487.724640519
7559	352-3002	487.727194372
3311	110-1522	487.982625521
6893	294-3051	488.154806234
1835	4531-905	488.777873534
1916	4544-1721	489.241009895
1918	4544-1721	489.342725505
2774	065-3109	489.670556108
7438	341-3016	490.168261628
7156	314-1606	490.484153994
6061	235-1523	490.824974031
8163	490-434	490.849338142
7726	371-946	491.226675427
6609	270-1537	491.437453796
6169	239-3122	491.51984484
1732	4516-1800	491.6726885
5705	216-1517	491.836307568
2478	036-3056	491.904169378
1419	4475-718	491.957116883
3190	102-1519	492.465079277
2366	021-3046	492.797340053
3142	100-1519	493.235913107
6677	274-3108	493.263902699
7720	370-1656	493.486704059
4550	169-1509	493.808444612
1989	4559-952	495.446631189
7458	344-3020	495.784951606
6728	278-3109	495.944130515
1121	4433-346	496.338942702
5359	198-1509	496.349004778
7324	328-3035	496.383771387
1197	4447-056	496.429208116
1135	4434-221	496.88422305
4979	182-1506	497.518912314
1464	4480-1903	498.042125956
3012	087-3127	498.265275887
1491	4482-1857	498.301681886
1936	4549-1702	498.493758006
1478	4482-1858	498.567268504
6051	234-3131	498.792569437
7503	348-1626	499.125622762
1564	4491-809	499.255749367
6754	280-3112	499.446448478
2317	014-3049	499.663727193
5013	183-3142	500.012960212
3467	121-3139	500.028943804
7236	320-1560	500.136308004
1869	4537-1715	500.445458833
7303	326-3042	500.64018928
1109	4430-344	500.659988934
4343	162-1502	500.666617938
3423	119-3139	500.832412926
2797	066-3122	500.875398426
2401	024-1548	501.097920102
1707	4510-1756	501.14177807
1705	4510-1757	501.227155867
1722	4514-857	501.350670879
7343	329-1605	501.887810915
6397	255-3127	502.134706509
1249	4455-006	502.747768141
5914	227-1509	502.919971626
1113	4430-228	502.957451013
1217	4450-024	502.958121377
5927	228-3137	503.007219144
2579	047-3114	503.206257239
5953	228-3137	503.234066819
1766	4521-911	503.767983207
7375	332-1605	503.890277369
1151	4437-527	504.232325474
2411	026-3103	504.707295144
6055	234-3137	504.720157957
1096	4428-403	504.764062286
1209	4448-622	505.103533074
4734	175-3148	505.210286632
2668	055-3121	505.385054152
2236	002-1559	505.605136937
1175	4444-606	505.804785706
1297	4461-1937	505.842313795
1084	4427-240	506.06443474
2267	010-3053	506.469909498
1269	4456-655	507.148917849
1413	4474-746	507.214674833
1556	4489-820	507.497779067
6915	295-3111	507.536120712
6517	264-3128	507.568017999
1079	4426-402	507.951762934
2034	4565-3014	508.003071363
1125	4433-520	508.147088954
5783	219-1501	508.353048257
4862	179-3151	508.474503381
1068	4425-246	508.858201805
2092	4577-3029	510.547530244
2247	006-3056	511.153920055
6485	262-1513	511.469376779
7309	326-1551	512.091247507
6931	297-3116	512.09267405
2373	021-1538	512.391674936
1837	4532-939	512.470153495
7088	308-3108	512.631043739
1100	4428-502	512.693195274
6581	269-3132	513.057552889
2395	023-3110	513.200353495
1057	4422-232	513.583391945
5483	204-3153	514.015054763
7528	350-3036	514.146598732
1051	4421-241	514.416274575
1954	4552-3008	514.586255244
7414	338-3048	514.605492937
1103	4429-516	514.621761394
3150	100-1457	514.77757774
3438	119-3153	514.964597082
2528	042-1521	514.965171961
1065	4424-448	515.429956384
4521	168-1447	515.531300549
8005	429-855	516.085129923
6840	286-3126	516.110516111
1263	4456-716	516.641202295
2080	4574-3034	516.653801025
3427	119-3155	517.107149584
6629	271-3135	517.439582235
5297	195-3159	517.860635355
7855	399-946	518.263063218
2261	008-3106	518.371434973
7430	339-1554	518.417820526
5132	188-1446	518.483876098
7420	338-3052	518.56456992
3030	089-3149	518.61251258
6235	244-1458	518.613512055
4379	163-3202	519.329174975
6529	265-1505	519.450572921
7147	313-1533	519.521072746
2128	4580-1602	519.806727108
4803	177-3202	519.818262727
3047	091-3152	521.357401961
3148	100-1450	521.382484976
1014	4416-357	521.578746356
1165	4442-001	521.71319324
1153	4437-626	521.804808356
1148	4437-626	522.024696765
3140	100-1450	522.060376616
1804	4526-945	522.26139348
7326	328-3105	522.781935333
2088	4574-3042	522.909940637
1059	4422-517	523.539611036
1796	4526-946	523.664770365
1312	4463-1855	523.78624547
1063	4424-529	523.911209632
7832	395-960	524.980659472
7949	416-931	525.204761128
7484	346-1553	525.417654705
7262	323-3113	525.686230009
1031	4418-149	525.776815478
1588	4496-903	526.57112762
1685	4509-925	526.716244494
1042	4420-132	527.140126874
2884	078-3154	527.283200704
6281	247-3156	527.370919051
3082	095-1446	527.475170927
1958	4553-3025	527.668967044
2005	4561-3035	528.947269013
1664	4507-926	529.077147035
994	4414-436	529.300254649
7177	315-1524	529.535377653
7196	317-1524	530.292317167
7049	306-1516	530.656868436
987	4413-444	530.937196603
1670	4507-1714	532.299930491
5978	230-1440	532.410745326
1542	4488-1746	532.922780374
973	4409-242	533.251668525
1117	4432-010	533.291912173
6830	285-1501	533.338145477
4713	174-3216	533.616529779
1552	4489-1741	535.108502755
945	4406-315	535.45475145
6797	282-1457	535.636840587
7120	311-1514	535.811586094
3819	142-1428	536.329665039
2166	4590-3111	536.507984587
3475	122-1430	536.587086458
2169	4590-3112	536.730664126
5454	203-3217	536.987104384
1119	4432-1959	537.12078561
2100	4577-3102	537.199305403
2242	004-1522	537.418969053
1402	4472-1810	537.428808487
1107	4429-007	537.590444513
5487	204-3217	537.615001934
7728	371-3044	538.448257222
1506	4483-1746	538.621381868
981	4410-501	539.124771324
1697	4509-943	539.246006606
2636	052-1450	539.305181825
7140	313-1511	539.499045453
7882	402-3011	540.598016247
1612	4501-1712	540.826660508
1219	4451-1853	540.879813111
1714	4512-1655	540.94208203
1716	4512-1655	541.077754542
6856	288-3152	541.126156777
933	4403-356	541.17118962
7487	347-1535	541.225964542
929	4403-352	541.275179827
7596	356-1543	541.311493573
5788	219-1428	541.44271756
