# Object	D	S(shell_mosaicf658)	sigma(shell_mosaicf658)	S(shell_mosaicf656)	sigma(shell_mosaicf656)	S(Bg_mosaicf658)	sigma(Bg_mosaicf658)	S(Bg_mosaicf656)	sigma(Bg_mosaicf656)	S(shell_NII/Halpha)	sigma(shell_NII/Halpha)	S(Bg_NII/Halpha)	sigma(Bg_NII/Halpha)
131-046	164.460	-0.00023	0.00010	-0.00038	0.00031	0.00807	0.00007	0.03292	0.00022	0.59212	0.54456	0.24526	0.00269
206-043	171.159	0.00005	0.00002	0.00021	0.00004	0.00491	0.00001	0.01372	0.00003	0.23284	0.10412	0.35813	0.00126
132-053	157.312	0.00013	0.00003	-0.00020	0.00019	0.01029	0.00002	0.03832	0.00014	-0.65532	0.65316	0.26846	0.00109
142-301	39.672	0.00435	0.00028	0.01926	0.00135	0.02435	0.00020	0.15484	0.00095	0.22581	0.02151	0.15726	0.00161
102-157	125.297	-0.00002	0.00003	0.00107	0.00013	0.00814	0.00002	0.03742	0.00009	-0.01732	0.02852	0.21742	0.00079
180-331	26.026	0.00067	0.00010	0.00863	0.00053	0.01174	0.00007	0.07171	0.00037	0.07751	0.01276	0.16365	0.00132
106-245	94.703	0.00293	0.00019	0.00367	0.00041	0.01551	0.00013	0.07373	0.00029	0.79885	0.10326	0.21038	0.00200
169-338	17.151	-0.00048	0.00013	0.00110	0.00037	0.02193	0.00009	0.10820	0.00026	-0.43337	0.18693	0.20266	0.00098
w069-601	212.194	0.00043	0.00003	0.00099	0.00008	0.00383	0.00002	0.01667	0.00005	0.43612	0.04283	0.22973	0.00135
170-249	35.163	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
074-229	144.777	0.00047	0.00003	0.00081	0.00008	0.00549	0.00002	0.02476	0.00006	0.57759	0.06435	0.22177	0.00090
175-321	16.026	-0.00029	0.00011	0.00586	0.00058	0.02249	0.00008	0.14829	0.00041	-0.05016	0.01980	0.15167	0.00068
168-328	7.861	0.00009	0.00009	0.00576	0.00106	0.02390	0.00006	0.12599	0.00075	0.01569	0.01536	0.18970	0.00123
w005-514	262.718	0.00144	0.00003	0.00121	0.00005	0.00256	0.00002	0.00877	0.00003	1.19131	0.05622	0.29158	0.00296
177-341	26.499	0.00020	0.00009	0.00523	0.00030	0.01280	0.00007	0.07873	0.00021	0.03805	0.01819	0.16259	0.00095
101-233	105.936	-0.00012	0.00009	0.00084	0.00016	0.01578	0.00006	0.05778	0.00011	-0.14158	0.11284	0.27310	0.00124
178-258	32.473	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	nan	nan	nan	nan
