# Object	RA	Dec	S(Halpha)	Density	Pressure_Shell	Flow_inner	Flow_outer
022-635	5:35:02.200	-5:26:35.33	0.00014	445.488	1.23012682729e-09	1.23012682729e-09	1.23012682729e-09
041-637	5:35:04.060	-5:26:37.06	0.00007	259.570	7.16750252031e-10	7.16750252031e-10	7.16750252031e-10
042-628	5:35:04.19875	-5:26:27.59750	0.00031	424.080	1.17101328793e-09	1.17101328793e-09	1.17101328793e-09
049-143	5:35:04.945	-5:21:42.92	0.00024	527.455	1.45646253417e-09	1.45646253417e-09	1.45646253417e-09
051-024	5:35:05.131	-5:20:24.32	0.00009	439.460	1.21348170434e-09	1.21348170434e-09	1.21348170434e-09
065-502	5:35:06.53975	-5:25:01.50750	0.00081	685.965	1.89415663332e-09	1.89415663332e-09	1.89415663332e-09
066-3251	5:35:06.56919	-5:32:51.43000	--	--	--	--	--
072-134	5:35:07.20375	-5:21:34.29500	0.00054	384.519	1.06177283564e-09	1.06177283564e-09	1.06177283564e-09
074-229	5:35:07.384	-5:22:28.92	0.00132	1549.833	4.27955386029e-09	4.27955386029e-09	4.27955386029e-09
083-435	5:35:08.29275	-5:24:34.85750	0.00017	534.492	1.4758921189e-09	1.4758921189e-09	1.4758921189e-09
101-233	5:35:10.133	-5:22:32.60	--	--	--	--	--
102-157	5:35:10.25075	-5:21:57.11750	0.00088	1019.575	2.81535289607e-09	2.81535289607e-09	2.81535289607e-09
106-245	5:35:10.576	-5:22:44.69	0.00614	3350.006	9.25037322793e-09	9.25037322793e-09	9.25037322793e-09
109-246	5:35:10.89575	-5:22:46.31750	0.00950	2480.185	6.84853650298e-09	6.84853650298e-09	6.84853650298e-09
116-3101	5:35:11.65419	-5:31:01.03000	0.00005	295.781	8.16739890769e-10	8.16739890769e-10	8.16739890769e-10
117-421	5:35:11.650	-5:24:21.41	--	--	--	--	--
119-3155	5:35:11.926	-5:31:53.30	0.00003	145.131	4.00750401315e-10	4.00750401315e-10	4.00750401315e-10
121-434	5:35:12.12175	-5:24:33.75750	0.00229	2337.277	6.45392375134e-09	6.45392375134e-09	6.45392375134e-09
124-131	5:35:12.383	-5:21:31.41	--	--	--	--	--
131-046	5:35:13.05537	-5:20:45.78625	--	--	--	--	--
132-053	5:35:13.202	-5:20:52.59	0.00040	914.107	2.52412475247e-09	2.52412475247e-09	2.52412475247e-09
136-3057	5:35:13.60719	-5:30:57.56000	0.00007	112.928	3.11828692756e-10	3.11828692756e-10	3.11828692756e-10
138-3024	5:35:13.79919	-5:30:24.40000	0.00002	112.168	3.09730661752e-10	3.09730661752e-10	3.09730661752e-10
142-301	5:35:14.158	-5:23:01.00	0.03961	6066.289	1.67508462979e-08	1.67508462979e-08	1.67508462979e-08
154-225	5:35:15.367	-5:22:25.31	0.02087	5114.533	1.4122764145e-08	1.4122764145e-08	1.4122764145e-08
154-240	5:35:15.383	-5:22:39.79	--	--	--	--	--
158-323	5:35:15.831	-5:23:22.51	0.03476	8911.500	2.46073309527e-08	2.46073309527e-08	2.46073309527e-08
159-221	5:35:15.934	-5:22:21.04	--	--	--	--	--
161-324	5:35:16.056	-5:23:24.33	0.02096	6510.154	1.79764933139e-08	1.79764933139e-08	1.79764933139e-08
163-222	5:35:16.303	-5:22:21.47	--	--	--	--	--
163-317	5:35:16.282	-5:23:16.63	0.00387	2219.431	6.12851668244e-09	6.12851668244e-09	6.12851668244e-09
165-235	5:35:16.475	-5:22:35.22	0.02067	5215.002	1.4400186993e-08	1.4400186993e-08	1.4400186993e-08
166-316	5:35:16.607	-5:23:16.16	0.00444	3693.149	1.01978939922e-08	1.01978939922e-08	1.01978939922e-08
167-317	5:35:16.739	-5:23:16.50	0.66484	27811.632	7.67962762034e-08	7.67962762034e-08	7.67962762034e-08
168-326	5:35:16.839	-5:23:26.32	0.06056	11787.508	3.25488540683e-08	3.25488540683e-08	3.25488540683e-08
168-328	5:35:16.757	-5:23:28.05	0.02069	7830.247	2.16216654433e-08	2.16216654433e-08	2.16216654433e-08
169-338	5:35:16.880	-5:23:38.02	0.00292	2474.072	6.83165646993e-09	6.83165646993e-09	6.83165646993e-09
170-249	5:35:16.967	-5:22:48.44	0.01777	3685.534	1.01768664714e-08	1.01768664714e-08	1.01768664714e-08
173-236	5:35:17.352	-5:22:35.73	0.07525	11470.752	3.16741942503e-08	3.16741942503e-08	3.16741942503e-08
